date,revenue,google_search_l,paid_facebook_l,paid_instagram_l,organic_search_l,google_search_s,paid_facebook_s,paid_instagram_s
2021-02-27,99835.20000000003,105,217,42,4,6413.060000000001,5397.812,1817.5780000000002
2021-02-28,152809.43588214548,158,252,63,5,7805.7,4700.586224,2076.123776
2021-03-01,202887.14955447428,251,219,59,22,12815.580000000002,4579.642002,2194.487998
2021-03-02,134857.06039913936,285,242,67,19,12140.24,4773.872991,2109.59701
2021-03-03,168363.2114269586,263,256,54,15,11560.130000000001,4544.143194,1352.9768
2021-03-04,134757.81587746245,264,238,52,11,10604.050000000003,4963.319332000001,1376.350668
2021-03-05,236232.76272467617,211,218,46,6,9569.630000000001,8269.493238,2123.786763
2021-03-06,125799.6,152,224,48,5,6508.719999999999,9105.663994999999,2458.4460039999994
2021-03-07,58149.385615820865,224,262,62,12,8387.93,9292.690813,2013.8691870000002
2021-03-08,221504.94447393308,353,245,50,15,13909.58,9028.086684999998,2438.8233139999998
2021-03-09,163670.54858829494,393,275,63,20,16843.8,9242.319515000001,2611.240486
2021-03-10,222066.35258610963,418,247,63,18,16661.45,8737.232848,2737.007156
2021-03-11,277052.86374863226,304,235,57,9,14889.069999999996,8803.044945,2490.6350540000003
2021-03-12,261679.31141231075,239,201,52,6,12447.269999999997,8692.38484,2681.2151599999997
2021-03-13,81406.8,188,220,54,7,9302.02,10884.561645,3224.4483600000003
2021-03-14,42147.96903177465,174,228,66,9,10864.66,9593.32288,3081.947118
2021-03-15,268476.7217042341,285,213,66,10,14780.599999999997,8389.796322,3844.10368
2021-03-16,206201.3397266528,334,229,74,13,14321.79,8414.529856,4006.9901419999997
2021-03-17,269891.861131682,304,272,61,12,11589.989999999998,8902.191296,3184.1787059999997
2021-03-18,228575.9577909112,267,240,42,12,10645.920000000002,10697.477363999998,2318.382635
2021-03-19,219342.87493469537,162,198,39,11,7049.519999999999,9990.420049999999,2169.299952
2021-03-20,137997.6,116,202,30,2,5492.63,9567.945218,2238.874781
2021-03-21,28097.983953760406,165,233,29,4,6463.870000000001,9287.437497999998,1952.7925030000001
2021-03-22,247028.7565545384,277,191,38,1,10293.739999999998,9040.571931999999,2074.748065
2021-03-23,232994.81147695094,247,217,53,8,9024.62,9622.028253,2272.881748
2021-03-24,223165.99247591465,229,266,53,9,8499.98,11746.424894,3018.225109
2021-03-25,256250.9958074778,247,231,53,8,13007.369999999999,13394.923083,3331.7669210000004
2021-03-26,244779.0378465735,186,285,62,8,15545.589999999997,14832.439955000002,3519.320048
2021-03-27,138160.5508305857,134,247,68,11,13610.61,16159.890723999999,4186.069275
2021-03-28,60731.87166275449,140,274,59,8,15883.720000000001,16162.987407,3413.332592
2021-03-29,273718.63873938774,211,208,60,8,27631.649999999998,16656.222761,3465.237239
2021-03-30,279871.27793050185,180,221,51,11,15346.48,16814.417191,4081.552807
2021-03-31,357686.69495111593,112,216,61,11,5856.5,16905.056018,3957.5039810000003
2021-04-01,204211.41755114865,120,199,63,5,4713.400000000001,16508.222449,3875.157546
2021-04-02,125076.10889378087,77,310,54,9,4459.14,17764.518353,3683.601645999999
2021-04-03,27983.60947592755,82,267,55,8,4526.5599999999995,16626.516648,4091.763353
2021-04-04,17829.6,101,256,45,2,5580.950000000001,16590.46423,3600.645772
2021-04-05,101050.34540848507,178,305,50,6,8856.54,16632.381019,3776.018979
2021-04-06,230607.66906614916,279,326,59,14,12435.69,15732.180869000002,3568.7091280000004
2021-04-07,220306.77800578717,255,315,43,17,11836.56,16460.856977000003,3021.543023
2021-04-08,179029.1079052938,291,323,51,13,10816.58,17250.206752,3280.2132500000007
2021-04-09,229768.82548864704,228,339,43,3,9891.289999999999,16251.102476,3356.207523
2021-04-10,73780.79999999999,136,302,41,3,8089.920000000001,17187.225911,3231.384087
2021-04-11,49938.250185837045,194,367,40,9,9631.5,16427.175637,3456.9343639999997
2021-04-12,235105.77010046324,356,304,46,25,17360.589999999997,15830.829040999999,3731.60096
2021-04-13,254385.50803998118,293,293,56,13,13030.06,15933.737161000001,3031.5828289999995
2021-04-14,267223.94218371675,286,383,49,9,12188.16,21433.526609,3620.923389
2021-04-15,293090.8959269748,288,343,41,13,11360.82,21377.516255000002,3497.2337449999995
2021-04-16,231248.211203758,215,393,47,12,9534.34,22136.287154999998,4161.272844
2021-04-17,92093.47117403068,163,342,34,8,6407.63,22710.07696,4056.863042
2021-04-18,52320.94779942039,197,324,48,7,8020.879999999999,20613.357516,3319.942488
2021-04-19,250422.6941946248,345,330,53,9,13290.02,20319.671562000003,3682.1084319999995
