date,revenue,google_search_l,paid_facebook_l,paid_instagram_l,organic_search_l,google_search_s,paid_facebook_s,paid_instagram_s
2021-11-13,365932.7632787538,985,943,451,27,38733.48,88697.840704,29358.349488
2021-11-14,231300.8170669439,1325,974,453,36,51800.95999999999,85439.076356,28260.682915999998
2021-11-15,950831.6037092295,1895,967,458,37,73361.76999999999,83726.55444300002,28620.564293999996
2021-11-16,946817.7245895816,1789,956,429,41,68792.34,87870.43115599999,28919.409452
2021-11-17,869548.9367028532,1779,1005,455,34,67584.92000000001,87803.698361,31575.069680999986
2021-11-18,1008640.7436399539,1573,947,391,39,67303.7,85397.458063,32324.378635
2021-11-19,712748.546743064,1151,820,287,25,46011.99,87321.75901200002,27329.647775000005
2021-11-20,352989.295288863,868,896,385,27,26716.23,92250.08387100001,31377.587083
2021-11-21,267983.2871835849,1139,1029,458,29,37063.729999999996,92396.22603600001,30374.139990000003
2021-11-22,941762.4999794967,1579,1094,491,41,36800.28999999999,89635.622325,34589.674137999995
2021-11-23,898487.6567934039,1417,1152,501,34,38770.6,93506.523361,35218.483426
2021-11-24,1042687.7569330966,1614,1160,484,34,51927.42999999999,95266.833272,32674.251240000005
2021-11-25,1025060.3965702812,1509,1235,454,22,48100.34,98661.49232399999,32423.375227000004
2021-11-26,1147338.5168153278,1172,1018,354,22,38755.71,101513.020877,30233.234722000016
2021-11-27,632366.9785939232,1007,1043,360,26,31696.21,95285.721647,28505.420988000005
2021-11-28,425577.8498624227,1313,1159,421,29,47699.329999999994,93281.81060900001,29947.019783000003
2021-11-29,1419716.4972227167,1860,1050,452,33,74458.84,100138.220309,35824.613832
2021-11-30,1371709.7098993978,1821,1091,462,31,73085.93000000002,80215.243836,32592.932314
2021-12-01,587906.6923487799,1734,1079,488,31,72021.09999999999,78738.118757,31824.271235
2021-12-02,685816.3777835942,1648,1027,438,22,67267.2,80662.247221,30341.471187000003
2021-12-03,997950.2423469599,1293,1051,371,21,53055.969999999994,84553.807591,29788.029041999995
2021-12-04,291938.47077175294,1071,1102,404,31,40736.14,87302.702271,29837.779283999997
2021-12-05,130855.18056837244,1205,1112,448,25,48014.78,87496.55905800001,33069.096209999996
2021-12-06,743816.480528573,1613,1039,505,22,69591.91,83682.76207999999,35775.23531499999
2021-12-07,646091.4892028482,1531,1067,521,38,67550.42,85488.735076,34095.788403
2021-12-08,633972.9804393474,1606,1122,375,34,66052.34000000001,87019.005241,30725.583123000004
2021-12-09,606414.0167986233,1631,1012,478,27,67014.71999999999,83144.73890899999,33164.665451
2021-12-10,674499.6897828181,1289,990,380,28,55281.46000000001,82046.87409099998,28715.815798999996
2021-12-11,395910.73228039045,1034,950,346,13,41993.52,78558.49200200001,28331.298729999995
2021-12-12,176764.57248360815,1186,1023,455,30,52158.83,77954.14572800002,29933.11856399999
2021-12-13,823761.427231968,1609,903,433,21,74907.07,74308.41953200001,32823.612243
2021-12-14,683618.490682665,1522,869,423,24,75393.70000000001,76315.295018,33333.126202
2021-12-15,770765.6869140324,1547,980,384,24,70826.05000000002,80081.34792899998,30339.197034000004
2021-12-16,684255.9806790801,1369,1036,453,24,62131.91,82628.73008600001,29163.366265999997
2021-12-17,527781.9245063158,1163,894,357,18,50723.83,82814.034593,28425.335039000005
2021-12-18,305716.8933804023,941,753,393,13,35407.82,80152.800613,33950.587634999996
2021-12-19,178387.64029273723,981,823,421,8,39897.619999999995,79483.798418,33154.868126999994
2021-12-20,795294.9491035626,1220,691,390,17,54928.98999999999,73042.475354,29347.354058000004
2021-12-21,688445.949727388,1115,653,392,20,45690.84,63854.80152099999,28714.086842000004
2021-12-22,605078.5630794808,925,615,369,18,38630.71,58283.557754,27260.848863
2021-12-23,604967.7213613228,781,491,285,12,29632.569999999996,45843.735867,23124.532189999998
2021-12-24,211366.15897573682,566,431,270,6,19285.739999999998,42973.810096,19517.085769999998
2021-12-25,31798.111282593105,560,489,280,7,18884.940000000002,45033.461992000004,18594.273134
2021-12-26,53592.3,711,551,357,20,26417.620000000003,44556.869697999995,19013.574329
2021-12-27,382860.61591081053,982,548,290,29,35895.64,41856.230389000004,18039.189609
2021-12-28,434645.31887566735,928,514,312,23,35992.54000000001,39871.183095,16887.228106
2021-12-29,592716.5831457127,954,484,254,17,32956.82000000001,39620.767535,15791.71859
2021-12-30,528982.3584391912,771,480,239,19,29501.78,38112.617463999995,15099.402800999997
2021-12-31,284404.55629576696,465,401,201,4,17454.02,37959.042795,13820.424212
2022-01-01,33464.14696455742,624,412,246,12,22970.520000000004,38873.60433999999,16040.833304
2022-01-02,36193.11203723753,1111,588,348,12,41402.87999999999,39538.907437,14512.772563000002
2022-01-03,612999.2744385746,1499,633,459,20,54937.09,41096.499208,19019.946916999997
2022-01-04,644756.3918462248,1403,708,437,17,53788.96,46640.973752,20564.647034
2022-01-05,736689.1151492614,1418,683,451,33,51031.81,50545.043754,19303.273403000003
2022-01-06,445719.3296046873,1345,767,440,29,47862.39,52398.40848,19880.726597
2022-01-07,746969.6449065853,1297,643,436,29,49884.100000000006,51434.457620999994,21997.740094
2022-01-08,405400.94260260393,1298,774,419,26,44528.22,55448.687875,19277.860079000002
2022-01-09,129225.9361358386,1609,815,439,28,55236.380000000005,56956.202345000005,18700.867271999996
2022-01-10,1038219.2219385065,1981,697,437,30,71770.83,53172.276678,21883.578001
2022-01-11,708702.5136941515,2120,683,546,50,71699.82999999999,50292.080367999995,25329.738936
2022-01-12,991509.6433818857,2101,746,459,54,69738.04999999999,53449.810289,21997.003983
2022-01-13,1117082.3531666265,1943,708,403,57,66236.81,53440.275541,20870.1941
2022-01-14,1027787.4242486922,1715,565,335,64,60356.92,51549.992666,20285.564103999997
2022-01-15,488969.54080910055,1346,617,294,36,49830.37999999999,56139.10168,19191.299837
2022-01-16,258154.33670287405,1723,743,281,53,59253.020000000004,56940.551440999996,18444.448558999997
2022-01-17,1104823.6925932835,2188,747,344,61,73801.81,53993.92352,19967.085323
2022-01-18,1046354.6365915355,2141,725,346,66,73304.18000000001,59287.730303000004,21067.239118000005
2022-01-19,1144612.2155126547,2167,688,317,54,72396.12,58232.95623799999,21259.785853
2022-01-20,1119335.996960967,1907,586,306,51,63892.350000000006,51055.377518,20351.508998999998
2022-01-21,945984.230823695,1634,557,309,34,52419.34,48358.388106,19964.380939
2022-01-22,514389.1074596115,1341,593,344,36,41866.53,48125.784251000005,22422.533601
2022-01-23,203929.5330110166,1437,669,322,44,48697.28,50738.388281,20371.83627
2022-01-24,1194102.0394044993,2062,616,352,68,71538.62,49292.665742000005,21820.268484
2022-01-25,981902.9241449414,2107,705,336,59,73119.09000000001,52812.513784,20713.144119000004
2022-01-26,1151264.099009464,1965,703,193,40,75729.14,55738.584447999994,14382.393832000002
2022-01-27,1064070.0762301716,1980,593,314,51,77363.25,48013.927369,21973.869402000004
2022-01-28,964899.8175482827,1607,535,296,40,74534.76999999999,47045.223254,20556.170181
2022-01-29,457752.9461154796,1251,558,318,33,57886.51,48326.479999999996,21574.851497999996
2022-01-30,279082.48835553223,1476,576,329,51,65991.66,49231.369999999995,18420.334011
2022-01-31,1565031.8906041614,1894,600,302,62,80086.86,47992.099774999995,20105.150782999997
2022-02-01,1286736.1031240816,2041,605,326,71,83310.87000000001,46382.13723000001,20649.13214514286
2022-02-02,1166676.8132789787,2069,577,356,74,84455.22,44680.34231100001,23014.408137142862
2022-02-03,929710.0609816357,1837,609,364,57,74412.63,45352.18000000001,25652.47975914285
2022-02-04,1143981.7279685366,1634,551,276,53,64488.09,53162.272962999996,22634.346108142854
2022-02-05,398785.5769209384,1183,573,275,36,44212.53,53602.611068,20636.522406142856
2022-02-06,181557.12701165816,1489,651,400,52,50399.83,54360.392936000004,21804.725552142856
2022-02-07,1260012.5237748516,2044,620,351,39,69310.55,52119.07,23510.045073142857
2022-02-08,1008450.4790670172,2002,671,379,56,69806.02999999998,53117.00628499998,25309.169542142852
2022-02-09,1149712.2022460315,1923,710,414,53,66477.38999999997,53757.16481900001,25783.313551142863
2022-02-10,1196366.539035329,1726,740,366,44,61504.45,55928.31485900001,24541.99698414286
2022-02-11,986488.5547836502,1337,690,409,38,47493.18000000001,57602.535936,24628.559523142863
2022-02-12,390154.38769724045,1022,563,381,43,36144.21000000001,60385.537638999995,23332.577936142858
2022-02-13,212418.07379001303,1043,692,406,43,43100.35000000001,59021.310000000005,25618.382443142847
2022-02-14,923864.9241722832,1430,524,311,66,56488.130000000005,55820.45121,27184.503836142863
2022-02-15,1045346.8536108737,1710,655,451,53,58679.199999999975,54893.10334000001,31475.84932414286
2022-02-16,1115308.4403284842,1914,710,498,57,58265.89,55626.63170599999,31719.194290142863
2022-02-17,1099896.197296578,1777,669,495,63,56645.079999999994,56146.036608999995,31899.620575142853
2022-02-18,1003842.6837828837,1401,587,564,69,47926.17999999998,54496.08876800001,34659.470834142856
2022-02-19,428951.3417954379,1193,576,482,39,39144.40000000001,57662.787744999994,33232.348258142854
2022-02-20,208203.17585543467,1489,602,435,55,56063.579999999994,59490.41148299998,30769.38796114285
2022-02-21,1247220.1967678303,2084,627,417,77,85547.85999999999,58246.93419,30796.925886142853
2022-02-22,968600.6155990856,2101,618,463,47,85574.84999999999,59377.72013800001,33233.566259142855
2022-02-23,1155346.2628071834,2083,592,435,33,81621.78,55315.895473,28352.94804614286
2022-02-24,1028596.1177463636,1732,555,389,39,68762.35,52476.366814,29254.364909142856
2022-02-25,1102250.278443136,1518,545,358,37,61178.58,53002.566677,29362.340649142858
2022-02-26,412051.2729203935,1183,540,405,26,48076.439999999995,54443.735859,29110.629406142853
2022-02-27,182328.35197692533,1415,607,414,34,61823.35,52996.303619,29910.345172142857
2022-02-28,1458323.4859305555,2000,561,458,45,85390.65000000001,55258.76340899999,31574.395380142858
2022-03-01,5425.379999999999,48,25,14,0,,,
